Date,Open,High,Low,Close
11/23/2022,"20.08","19.51","19.51","19.51"
11/22/2022,"20.90","20.22","20.22","20.22"
11/21/2022,"21.61","21.17","21.17","21.17"
11/18/2022,"21.55","20.88","20.88","20.88"
11/17/2022,"20.93","21.82","21.82","21.82"
11/16/2022,"21.14","21.17","21.17","21.17"
11/15/2022,"20.90","20.86","20.86","20.86"
11/14/2022,"21.35","20.94","20.94","20.94"
11/11/2022,"21.59","20.78","20.78","20.78"
11/10/2022,"23.73","21.32","21.32","21.32"
11/09/2022,"23.19","23.24","23.24","23.24"
11/08/2022,"22.89","22.61","22.61","22.61"
11/07/2022,"23.74","22.66","22.66","22.66"
11/04/2022,"23.57","22.91","22.91","22.91"
11/03/2022,"24.21","23.77","23.77","23.77"
11/02/2022,"24.54","24.70","24.70","24.70"
11/01/2022,"24.47","24.47","24.47","24.47"
10/31/2022,"25.74","24.83","24.83","24.83"
10/28/2022,"26.33","24.89","24.89","24.89"
10/27/2022,"27.03","25.87","25.87","25.87"
10/26/2022,"27.28","26.95","26.95","26.95"
10/25/2022,"28.33","27.62","27.62","27.62"
10/24/2022,"28.79","28.68","28.68","28.68"
